,match_id,game_mode,queue_id,platform_id,game_duration_in_ms,game_duration_in_min,win,surrender,total_blue_kills,total_red_kills,total_blue_assists,total_red_assists,total_blue_gold_earned,total_red_gold_earned,total_blue_minions_killed,total_red_minions_killed,total_blue_turret_kills,total_red_turret_kills,total_blue_dragon_kills,total_red_dragon_kills,total_blue_damage_dealt_to_champions,total_red_damage_dealt_to_champions,total_blue_baron_kills,total_red_baron_kills,avg_blue_champ_level,avg_red_champ_level,total_blue_inhibitor_kills,total_red_inhibitor_kills,total_blue_items_purchased,total_red_items_purchased
1988,EUN1_3573570161,CLASSIC,420,EUN1,1554,25.9,blue,False,26,21,34,25,56098,47572,599,607,10,3,3,0,93107,66138,1,0,14.2,13.4,3,0,99,96
1989,EUN1_3580733686,CLASSIC,420,EUN1,2766,46.1,red,True,50,53,90,83,100879,102551,1026,1105,11,10,3,5,207377,219758,2,2,18.0,18.0,3,3,158,157
1990,EUN1_3588828698,CLASSIC,420,EUN1,2191,36.52,red,False,44,43,64,65,75461,81731,894,806,4,10,3,3,152575,145299,0,3,17.2,17.8,0,3,124,132
1991,EUN1_3390315828,CLASSIC,420,EUN1,1680,28.0,red,False,22,43,37,67,52956,60732,580,522,6,9,0,3,93995,104283,0,1,13.2,15.2,0,2,91,105
1992,EUN1_3586179776,CLASSIC,420,EUN1,1792,29.87,blue,False,41,21,45,26,65397,59223,707,738,9,7,4,0,112435,96534,1,0,16.2,14.4,2,1,122,109
1993,EUN1_3577043312,CLASSIC,420,EUN1,1521,25.35,red,False,26,37,33,44,47613,59383,544,596,2,11,1,2,66599,96507,0,1,13.0,14.6,0,3,93,108
1994,EUN1_3573551337,CLASSIC,420,EUN1,1769,29.48,red,False,28,31,40,29,61027,63048,628,659,4,10,1,3,93071,120681,0,1,14.8,15.4,0,3,106,104
1995,EUN1_3555870136,CLASSIC,420,EUN1,1775,29.58,red,False,25,37,44,60,54448,66099,640,593,1,9,1,3,95315,131463,0,2,14.4,15.6,0,2,107,110
1996,EUN1_3545216527,CLASSIC,420,EUN1,1743,29.05,blue,False,48,27,85,46,69883,53209,630,553,9,3,3,1,124401,109331,1,0,15.2,13.0,2,0,122,135
1997,EUN1_3577617042,CLASSIC,420,EUN1,1912,31.87,red,False,29,38,32,64,56773,68249,673,698,2,9,2,3,127541,139096,0,2,14.6,16.2,0,3,105,125
1998,EUN1_3571902587,CLASSIC,420,EUN1,1624,27.07,blue,True,49,27,81,40,63620,51528,489,578,11,1,3,1,119223,94641,1,0,14.8,13.4,4,0,122,105
1999,EUN1_3577358347,CLASSIC,420,EUN1,1875,31.25,red,False,27,32,49,47,55485,64667,705,701,4,10,3,1,136414,134375,0,0,14.2,15.6,0,2,95,113
2000,EUN1_3564326751,CLASSIC,420,EUN1,1950,32.5,red,False,26,41,39,54,63366,69334,750,693,3,9,1,4,142957,129054,0,2,15.8,16.6,0,3,116,121
2001,EUN1_3587588120,CLASSIC,420,EUN1,1430,23.83,red,False,24,33,29,50,42468,55319,441,533,1,10,0,3,78144,81728,0,1,12.2,14.0,0,2,84,90
2002,EUN1_3577897717,CLASSIC,420,EUN1,1044,17.4,red,True,16,29,19,40,31704,40025,367,411,0,3,0,2,46715,64309,0,0,9.6,11.0,0,0,71,83
2003,EUN1_3535200123,CLASSIC,420,EUN1,2339,38.98,blue,False,39,42,65,62,77890,77173,856,742,8,5,2,3,153976,163963,1,1,17.4,17.2,2,0,113,146
2004,EUN1_3575720623,CLASSIC,420,EUN1,1419,23.65,red,False,8,26,7,30,36387,52583,530,643,1,8,0,3,50261,70419,0,1,12.2,14.0,0,1,79,85
2005,EUN1_3565250502,CLASSIC,420,EUN1,1512,25.2,red,False,16,29,22,47,42422,55655,570,594,1,10,1,3,64788,89540,0,1,12.4,14.2,0,2,92,95
2006,EUN1_3573422884,CLASSIC,420,EUN1,1532,25.53,blue,False,28,21,27,25,52808,44644,551,545,9,2,2,1,80364,75319,0,0,13.4,12.4,1,0,86,88
2007,EUN1_3595836022,CLASSIC,420,EUN1,1630,27.17,red,False,34,41,54,53,52866,64951,503,589,3,11,0,3,93464,123644,0,1,13.2,15.0,0,3,97,108
2008,EUN1_3565561340,CLASSIC,420,EUN1,2005,33.42,blue,False,41,48,75,66,75857,68890,704,585,10,6,4,1,142953,168106,2,0,17.0,15.6,2,1,125,129
2009,EUN1_3581463278,CLASSIC,420,EUN1,2153,35.88,red,False,45,42,72,65,73769,75334,678,776,4,8,2,3,153015,148100,1,0,16.8,16.8,0,1,123,122
2010,EUN1_3584388429,CLASSIC,420,EUN1,953,15.88,red,True,8,19,12,18,26050,33920,361,397,0,2,1,1,26186,35741,0,0,9.4,10.2,0,0,62,67
2011,EUN1_3580776529,CLASSIC,420,EUN1,1279,21.32,red,False,8,30,13,58,35303,45392,479,509,2,7,0,2,56651,58124,0,0,11.0,12.2,0,1,75,81
2012,EUN1_3584487566,CLASSIC,420,EUN1,1705,28.42,red,False,19,30,26,37,53108,61019,703,589,1,11,0,4,84582,83462,0,2,14.2,14.6,0,3,105,123
2013,EUN1_3550920642,CLASSIC,420,EUN1,1704,28.4,red,False,21,34,29,46,53517,62907,624,727,4,9,1,3,92618,114356,0,1,14.0,15.6,0,2,100,118
2014,EUN1_3569591937,CLASSIC,420,EUN1,1528,25.47,red,True,19,38,18,56,42802,57448,546,568,0,6,1,3,70629,94955,0,1,12.8,14.4,0,1,95,100
2015,EUN1_3536976480,CLASSIC,420,EUN1,1419,23.65,blue,False,26,10,31,10,52794,38076,552,501,11,2,2,1,69211,51357,1,0,13.2,11.6,3,0,86,87
2016,EUN1_3578119121,CLASSIC,420,EUN1,1681,28.02,blue,False,42,14,55,17,61769,48573,635,577,10,3,4,0,108653,83361,0,1,15.4,13.4,2,0,118,112
2017,EUN1_3556352865,CLASSIC,420,EUN1,1391,23.18,blue,False,23,21,36,26,51022,43687,592,495,8,3,1,3,60812,64112,1,0,13.2,12.2,1,0,86,89
2018,EUN1_3559682079,CLASSIC,420,EUN1,1408,23.47,blue,False,29,21,39,25,52703,45541,531,549,6,6,0,3,76185,70016,1,0,13.8,12.2,1,0,87,98
2019,EUN1_3590726342,CLASSIC,420,EUN1,1651,27.52,blue,False,41,19,61,28,61865,48018,580,525,9,1,4,0,106663,80797,1,0,14.4,13.2,3,0,94,105
2020,EUN1_3530953395,CLASSIC,420,EUN1,2408,40.13,red,False,37,50,63,57,74635,81421,775,733,3,7,2,4,149699,182519,0,2,16.8,17.4,0,2,144,126
2021,EUN1_3578473299,CLASSIC,420,EUN1,1745,29.08,red,True,31,55,27,61,59439,69659,641,683,4,10,0,3,115068,152313,0,1,14.4,16.6,0,2,110,115
2022,EUN1_3589638185,CLASSIC,420,EUN1,1415,23.58,red,False,18,26,23,34,43319,50525,522,547,4,7,2,2,59975,69639,0,1,12.0,13.6,0,1,98,84
2023,EUN1_3589053812,CLASSIC,420,EUN1,1389,23.15,red,True,18,35,21,35,40035,51997,470,509,0,8,0,3,61480,97168,0,0,11.8,13.0,0,2,90,87
2024,EUN1_3537522848,CLASSIC,420,EUN1,2964,49.4,blue,False,31,30,47,67,94874,83207,1068,972,9,2,5,3,193560,154465,3,1,18.0,17.8,4,0,131,135
2025,EUN1_3565852437,CLASSIC,420,EUN1,1370,22.83,red,False,27,43,40,58,49583,58051,506,550,4,8,0,3,84430,104625,0,0,12.0,13.4,0,1,107,91
2026,EUN1_3580350128,CLASSIC,420,EUN1,2050,34.17,red,False,35,55,50,100,67845,77351,738,711,7,8,2,3,147762,170622,0,2,15.4,17.6,2,1,123,125
2027,EUN1_3584693501,CLASSIC,420,EUN1,1788,29.8,blue,False,37,26,40,34,64360,57959,717,679,9,2,4,0,118317,107183,1,1,15.6,15.0,1,0,106,107
2028,EUN1_3575917125,CLASSIC,420,EUN1,1604,26.73,blue,False,44,13,50,19,62160,45158,630,604,9,1,4,0,114737,93001,1,0,15.4,13.2,1,0,92,99
2029,EUN1_3577323541,CLASSIC,420,EUN1,2068,34.47,blue,False,54,41,71,71,79327,72472,745,729,9,5,4,1,162529,158216,1,1,17.4,16.4,2,0,136,124
2030,EUN1_3379428169,CLASSIC,420,EUN1,1472,24.53,blue,False,32,21,55,27,55377,44563,545,528,9,2,3,0,88117,75391,1,0,13.8,12.2,1,0,102,96
2031,EUN1_3583286670,CLASSIC,420,EUN1,1618,26.97,red,False,18,43,42,74,48585,55836,556,527,3,7,2,2,102271,125130,0,0,12.8,13.8,0,2,113,117
2032,EUN1_3550950176,CLASSIC,420,EUN1,1863,31.05,red,False,32,41,44,63,62718,69788,697,681,5,10,3,2,117039,130219,0,1,15.0,16.4,0,2,115,111
2033,EUN1_3587199327,CLASSIC,420,EUN1,1732,28.87,red,False,15,43,17,57,48416,61811,605,664,1,9,0,4,78707,111211,0,1,13.2,15.4,0,1,112,107
2034,EUN1_3578755073,CLASSIC,420,EUN1,2181,36.35,blue,False,45,36,85,68,80732,70950,722,739,10,3,1,4,153852,145190,1,1,17.0,16.8,1,0,123,131
2035,EUN1_3579044350,CLASSIC,420,EUN1,2071,34.52,blue,False,48,35,84,40,74729,70371,696,779,10,5,4,1,161508,130960,0,1,16.6,16.8,2,0,109,128
2036,EUN1_3571671699,CLASSIC,420,EUN1,1879,31.32,red,False,35,43,21,72,62049,70263,640,641,6,9,1,3,114028,127872,0,1,15.4,16.4,0,2,115,114
2037,EUN1_3574196374,CLASSIC,420,EUN1,1752,29.2,blue,False,41,29,53,57,68959,57054,626,624,8,3,4,0,152887,110695,2,0,15.0,13.8,1,0,107,122
2038,EUN1_3591986588,CLASSIC,420,EUN1,1506,25.1,red,False,21,22,25,33,46339,49289,621,618,1,7,2,1,73461,78695,0,0,13.6,13.6,0,1,87,88
2039,EUN1_3588562478,CLASSIC,420,EUN1,937,15.62,red,True,3,15,4,13,24453,31062,376,418,0,2,0,2,23134,34270,0,0,9.2,10.4,0,0,59,65
2040,EUN1_3572003134,CLASSIC,420,EUN1,2642,44.03,red,False,55,54,95,84,93908,93239,868,894,8,10,1,5,210793,223780,1,1,17.8,17.6,2,4,161,133
2041,EUN1_3560703825,CLASSIC,420,EUN1,957,15.95,blue,True,18,2,16,2,33060,22973,399,346,3,0,2,0,36569,25438,0,0,10.4,9.2,0,0,61,56
2042,EUN1_3580495042,CLASSIC,420,EUN1,2327,38.78,blue,False,38,42,52,77,85524,77395,867,885,11,4,5,1,174065,171879,2,0,17.8,17.4,3,0,142,122
2043,EUN1_3572197658,CLASSIC,420,EUN1,272,4.53,red,True,1,5,3,12,6096,8810,47,80,0,0,0,0,4848,6666,0,0,3.0,3.6,0,0,23,26
2044,EUN1_3578275724,CLASSIC,420,EUN1,1538,25.63,blue,False,28,15,54,28,55558,46099,614,569,9,3,3,1,89941,59981,1,0,14.2,12.4,1,0,83,88
2045,EUN1_3532127239,CLASSIC,420,EUN1,934,15.57,red,True,9,14,13,12,24457,33180,276,433,0,4,0,1,28777,37641,0,0,8.8,9.8,0,0,59,70
2046,EUN1_3592555314,CLASSIC,420,EUN1,1900,31.67,red,False,22,28,42,45,53393,65831,657,802,2,8,1,2,106400,111727,0,1,14.6,16.0,0,3,95,101
2047,EUN1_3565919849,CLASSIC,420,EUN1,1728,28.8,blue,True,30,17,54,16,59743,50969,672,680,7,3,4,0,89173,74122,1,0,15.2,13.8,0,0,115,94
2048,EUN1_3569600978,CLASSIC,420,EUN1,1641,27.35,blue,True,44,27,64,47,60181,50365,572,489,7,3,4,0,134473,92999,1,0,14.8,13.2,1,0,113,91
2049,EUN1_3558549407,CLASSIC,420,EUN1,1955,32.58,red,False,33,39,40,64,62767,69771,668,671,2,9,2,3,146045,141077,1,0,15.4,16.0,0,2,114,124
